adult,age group,condition,custom_label_1,custom_label_2,gender,id,is_bundle,mpn,product_brand,product_category,product_currency,product_description,product_gtin,product_id,product_image,product_instock,product_name,product_price,product_size,product_type,product_url,short_title,unit_pricing_measure,custom_label_3,custom_label_0,product_sale_price,parent_category,subcategory,child_category
False,adult,new,STANDARD PRODUCT,Karité,female,01BC500K20,False,LO01BC500K20,L'Occitane en Provence,2522,EUR,"Enriched with shea butter (5%) known for its nourishing properties, this bubble bath helps soften the skin while limiting the sensation of dryness. Its ultra-soft creamy texture transforms into a rich and generous foam on contact with water for a comforting moment of well-being.",3253581680216.0,01BC500K20,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw9881c970/large/01BC500K20_texture.jpg?sw=1200&sh=1200&sfrm=png,in stock,Baño Espumoso Karité 500ml - L'Occitane en Provence,30.0,500 ml,Cuerpo>Baño Espumoso,https://es.loccitane.com/bano-espumoso-karite-01BC500K20.html,Shea Butter Foaming Bath,500ml,,,,Body,not available,Foaming Bath
False,adult,new,STANDARD PRODUCT,Karité,female,01BK010K14,False,LO01BK010K14,L'Occitane en Provence,2592,EUR,"This shea butter 100% of natural origin, certified organic, is extracted from the nuts of the shea tree and produced under a fair trade agreement with women's cooperatives in Burkina Faso. Certified organic and approved fair trade by Ecocert, this irreplaceable beauty balm helps protect, soothe and regenerate dry, dehydrated or sensitive skin. It is enriched with antioxidant vitamin E. Due to the characteristics of Shea Butter, the state of the product changes with temperature, solidifying in cold weather and becoming more fluid in hot weather. This change in no way affects the quality of the product. certified by Ecocert Greenlife according to Ecocert reference available at http://cosmetiques.ecocert.comsegún ESR reference available at www.ecocert.com.",3253581286791.0,01BK010K14,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw26ac0be3/large/01BK010K14.jpg?sw=1200&sh=1200&sfrm=png,in stock,Manteca de Karité BIO 10ml - L'Occitane en Provence,9.0,10 ml,Cuerpo>Crema & leche hidratante de cuerpo,https://es.loccitane.com/manteca-de-karite-bio-01BK010K14.html,Organic Shea Butter,10ml,Best Seller,,,Body,not available,Moisturizing Body Cream & Milk
False,adult,new,STANDARD PRODUCT,Karité,female,01BK150K0,False,LO01BK150K0,L'Occitane en Provence,2592,EUR,"This 100% shea butter of natural origin, certified organic, is extracted from the nuts of the shea tree and produced under a fair trade agreement with women's cooperatives in Burkina Faso. Certified organic and approved fair trade by Ecocert, this irreplaceable beauty balm helps protect, soothe and regenerate dry, dehydrated or sensitive skin. Pure Shea Butter enriched with antioxidant vitamin E. Due to the characteristics of Shea Butter, the state of the product changes with temperature, solidifying in cold weather and becoming more fluid in hot weather. This change does not affect in any case the quality of the product. certified by Ecocert Greenlife according to Ecocert reference available at http://cosmetiques.ecocert.comsegún reference ESR available at www.ecocert.com.",3253581171899.0,01BK150K0,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw150d10e9/large/01BK150K0_texture.jpg?sw=1200&sh=1200&sfrm=png,in stock,Manteca de Karité pura BIO 150ml - L'Occitane en Provence,39.0,150 ml,Cuerpo>Crema & leche hidratante de cuerpo,https://es.loccitane.com/manteca-de-karite-pura-bio-01BK150K0.html,Pure Organic Shea Butter,150ml,Best Seller,,,Body,not available,Moisturizing Body Cream & Milk
False,adult,new,STANDARD PRODUCT,Karité,female,01BL012K18,False,LO01BL012K18,L'Occitane en Provence,Rostro>Bálsamos labiales,EUR,"Enriched with fair trade shea butter (10%), this certified organic shea moisturizing lip balm helps moisturize, repair and protect dry and chapped lips. Comfortable, supple and soft, your lips will be restored. Natural and organic cosmetics certified by Ecocert Greenlife according to the Ecocert Standard available at http://cosmetiques.ecocert.com. Fair Trade controlled by ECOCERT Environment in compliance with EFT standards available www.ecocert.com100% of the total ingredients are of natural origin55% of the total ingredients are organically grown.",3253581590119.0,01BL012K18,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw01bd7e9f/large/01BL012K18.jpg?sw=1200&sh=1200&sfrm=png,in stock,Bálsamo de Labios Ultra Rico Karité 12ml - L'Occitane en Provence,9.0,12 ml,Rostro>Bálsamos labiales,https://es.loccitane.com/balsamo-de-labios-ultra-rico-karite-01BL012K18.html,Shea Butter Ultra Rich Lip Balm,12ml,,,,Face,not available,Lip balm
False,adult,new,STANDARD PRODUCT,Karité,female,01BL012KC22H,False,LO01BL012KC22H,L'Occitane en Provence,482,EUR,"Enriched with shea butter (5%) and chestnut extract, this melting balm helps nourish and soften lips. Like a relaxing immersion in the heart of a forest, this fragrance combines the delicate scent of chestnut with the fresh notes of green leaves.",3253581761878.0,01BL012KC22H,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw1981a4b2/large/01BL012KC22H.jpg?sw=1200&sh=1200&sfrm=png,in stock,Bálsamo de Labios Karité Castaña 12ml - L'Occitane en Provence,9.0,12 ml,Rostro>Bálsamo de labios,https://es.loccitane.com/balsamo-de-labios-karite-castana-01BL012KC22H.html,Shea Butter Chestnut Lip Balm,12ml,,,,Face,not available,Lip balm
False,adult,new,Travel Size,Karité,female,01BM050K23,False,LO01BM050K23,L'Occitane en Provence,2592,EUR,"The skin balance of the hands can be challenged on a daily basis, making hands dry, uncomfortable and vulnerable.With a high concentration of shea butter (25%), this universal skin care cream, specially formulated for sensitive skin, nourishes, repairs and soothes the skin of dry or very dry hands. Its generous texture forms a protective film, leaving hands softer and more comfortable day after day.",3253581742662.0,01BM050K23,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw2a2e3cb9/large/01BM050K23.jpg?sw=1200&sh=1200&sfrm=png,in stock,Bálsamo de Manos Intenso Karité 50ml - L'Occitane en Provence,19.0,50 ml,Manos>Crema de manos,https://es.loccitane.com/balsamo-de-manos-intenso-karite-01BM050K23.html,Shea Butter Intense Hand Balm,50ml,,,,Hands,not available,Hand cream
False,adult,new,STANDARD PRODUCT,Karité,female,01BM150K23,False,LO01BM150K23,L'Occitane en Provence,2592,EUR,"The skin balance of the hands can be challenged on a daily basis, making hands dry, uncomfortable and vulnerable.With a high concentration of shea butter (25%), this universal skin care cream, specially formulated for sensitive skin, nourishes, repairs and soothes the skin of dry or very dry hands. Its generous texture forms a protective film, leaving hands softer and more comfortable day after day.",3253581765227.0,01BM150K23,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw481e06f9/large/01BM150K23_texture.jpg?sw=1200&sh=1200&sfrm=png,in stock,Bálsamo de Manos Intenso Karité 150ml - L'Occitane en Provence,29.0,150 ml,Manos>Crema de manos,https://es.loccitane.com/balsamo-de-manos-intenso-karite-01BM150K23.html,Shea Butter Intense Hand Balm,150ml,,,,Hands,not available,Hand cream
False,adult,new,STANDARD PRODUCT,Karité,female,01BP050K21,False,LO01BP050K21,L'Occitane en Provence,515,EUR,"Highly enriched with shea butter (25%), this repairing foot balm intensely nourishes the skin. Concentrated in D-Panthenol and allantoin, it helps to immediately soothe the feet to bring them comfort while visibly reducing roughness and fighting dryness, day after day. Its rich and pleasant texture, at the same time, penetrates quickly, leaving the skin soft, supple and not sticky at all.This care: Immediately soothes dry to very dry feet (88%) Nourishes, day after day, dry to very dry feet (94%) Visibly reduces roughness on dry to very dry feet (91%)At L'OCCITANE, we have a tradition of exclusively Provencal ingredients. But when it comes to special ingredients like shea butter, we know how to make exceptions. Shea butter is a natural balm used by women in sub-Saharan Africa. We have partnered with women in Burkina Faso to create a fair and sustainable supply chain to have high quality shea butter in our beauty routine. We use organic shea butter whenever we can, and work with women in Burkina Faso to ensure we have the highest quality product with fair trade practices. Ideal for: - intensely nourished feet - soothed feet - repairing damaged and cracked feet Satisfaction test conducted on 34 volunteers over 4 weeks.",3253581688878.0,01BP050K21,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw5adf13d2/large/01BP050K21.jpg?sw=1200&sh=1200&sfrm=png,in stock,Bálsamo de Pies Intenso Karité 50ml - L'Occitane en Provence,19.0,50 ml,Cuerpo>Cuidados de pies,https://es.loccitane.com/balsamo-de-pies-intenso-karite-50ml-01BP050K21.html,Shea Butter Intense Foot Balm 50ml,50ml,,,,Body,not available,Foot care
False,adult,new,BIG SIZE,Karité,female,01BP150K20,False,LO01BP150K20,L'Occitane en Provence,515,EUR,"Enriched in shea butter (25%), this repairing foot balm intensely nourishes the skin. Concentrated in D-Panthenol and allantoin, it helps to immediately soothe the feet for comfort and beauty, all while visibly reducing roughness and fighting against dryness, day after day. Its rich yet soft texture leaves the skin soft, comfortable and free of greasy residues.",3253581590126.0,01BP150K20,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw8de40d2b/large/01BP150K20_texture.jpg?sw=1200&sh=1200&sfrm=png,in stock,Bálsamo de Pies Intenso Karité 150ml - L'Occitane en Provence,29.0,150 ml,Cuerpo>Cuidados de pies,https://es.loccitane.com/balsamo-de-pies-intenso-karite-01BP150K20.html,Shea Butter Intense Foot Balm,150ml,Best Seller,,,Body,not available,Foot care
False,adult,new,STANDARD PRODUCT,Karité,female,01BV050K16,False,LO01BV050K16,L'Occitane en Provence,7467,EUR,"Moisturizes and soothes the skin at any time of the day.This gentle, alcohol-free face mist moisturizes and soothes the skin at any time of the day.Its formula is enriched with softening Shea extract.",3253581382691.0,01BV050K16,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dwc799a1c1/large/01BV050K16.jpg?sw=1200&sh=1200&sfrm=png,in stock,Bruma Confort de Rostro Confort Karité 50ml - L'Occitane en Provence,15.0,50 ml,Rostro>Bruma de rostro,https://es.loccitane.com/bruma-confort-de-rostro-confort-karite-01BV050K16.html,Shea Butter Comfort Face Mist,50ml,,SALES,10.5,Face,not available,Face mist
